       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  -72.487514  -71.284023  -86.131619  -79.621044  -94.423217 -163.220935  -81.079283  -77.772316  -81.379943  -11.191515 -153.154649  -69.253582 -134.147990 -101.226458  -66.411338  -72.071038 -108.709482  -66.950152 -132.082748 -112.341321  -70.932305 -119.183161  -14.261366 -102.322536  -14.200061  -61.405882  -75.588017  -34.679618  -37.562968  -87.252359  -54.447178    0.957988
  -72.460855  -71.308307  -86.020792  -79.624959  -94.542899 -163.136102  -81.057478  -77.767970  -81.387221  -11.306153 -153.109596  -69.684079 -133.135212 -101.069191  -66.448231  -72.025243 -108.573009  -66.947237 -131.838308 -112.559970  -70.964233 -119.025692  -14.566702 -102.405258  -14.289829  -61.264513  -75.578772  -34.566356  -37.774021  -87.171981  -54.318546    1.257891
  -72.435067  -71.332799  -85.909056  -79.628893  -94.663485 -163.049792  -81.035828  -77.763596  -81.394582  -11.422222 -153.065669  -70.118594 -132.140076 -100.912491  -66.485839  -71.979119 -108.437225  -66.943776 -131.595576 -112.779710  -70.996113 -118.867473  -14.873616 -102.487276  -14.380405  -61.121929  -75.569417  -34.453025  -37.981274  -87.092544  -54.189941    1.556739
  -72.410146  -71.357487  -85.796416  -79.632844  -94.784990 -162.962000  -81.014331  -77.759192  -81.402025  -11.539723 -153.022864  -70.557106 -131.162758 -100.756371  -66.524185  -71.932662 -108.302119  -66.939765 -131.354548 -113.000522  -71.027939 -118.708504  -15.182080 -102.568600  -14.471802  -60.978126  -75.559951  -34.339613  -38.184814  -87.014034  -54.061375    1.854504
  -72.386086  -71.382361  -85.682880  -79.636813  -94.907429 -162.872719  -80.992986  -77.754757  -81.409551  -11.658659 -152.981177  -70.999590 -130.203384 -100.600847  -66.563295  -71.885869 -108.167679  -66.935199 -131.115218 -113.222390  -71.059703 -118.548788  -15.492067 -102.649244  -14.564036  -60.833102  -75.550373  -34.226111  -38.384724  -86.936439  -53.932857    2.151158
  -72.362884  -71.407410  -85.568452  -79.640797  -95.030817 -162.781946  -80.971792  -77.750293  -81.417160  -11.779033 -152.940604  -71.446021 -129.262035 -100.445933  -66.603195  -71.838737 -108.033893  -66.930073 -130.877581 -113.445298  -71.091399 -118.388325  -15.803547 -102.729219  -14.657119  -60.686853  -75.540683  -34.112508  -38.581086  -86.859746  -53.804398    2.446675
  -72.340533  -71.432623  -85.453141  -79.644798  -95.155166 -162.689673  -80.950747  -77.745798  -81.424853  -11.900849 -152.901141  -71.896370 -128.338749 -100.291644  -66.643913  -71.791262 -107.900749  -66.924384 -130.641631 -113.669226  -71.123023 -118.227117  -16.116491 -102.808535  -14.751068  -60.539376  -75.530879  -33.998793  -38.773979  -86.783943  -53.676009    2.741030
  -72.319031  -71.457991  -85.336952  -79.648813  -95.280492 -162.595897  -80.929851  -77.741273  -81.432629  -12.024107 -152.862786  -72.350603 -127.433521 -100.137994  -66.685476  -71.743442 -107.768235  -66.918125 -130.407362 -113.894157  -71.154566 -118.065166  -16.430869 -102.887205  -14.845896  -60.390669  -75.520960  -33.884956  -38.963480  -86.709019  -53.547698    3.034195
  -72.298370  -71.483504  -85.219892  -79.652844  -95.406810 -162.500611  -80.909102  -77.736716  -81.440490  -12.148812 -152.825534  -72.808687 -126.546311  -99.984995  -66.727916  -71.695273 -107.636338  -66.911293 -130.174767 -114.120072  -71.186024 -117.902474  -16.746648 -102.965240  -14.941619  -60.240730  -75.510926  -33.770987  -39.149666  -86.634960  -53.419476    3.326147
  -72.278547  -71.509151  -85.101968  -79.656888  -95.534133 -162.403811  -80.888500  -77.732128  -81.448436  -12.274965 -152.789382  -73.270582 -125.677046  -99.832662  -66.771263  -71.646751 -107.505049  -66.903881 -129.943839 -114.346951  -71.217392 -117.739045  -17.063798 -103.042651  -15.038252  -60.089557  -75.500776  -33.656875  -39.332608  -86.561756  -53.291353    3.616860
